Timestamp;Y;F3;F4;P7;FC6;F7;F8;T7;P8;FC5;AF4;Unknown;T8;X;O2;O1;AF3;QY;QF3;QF4;QP7;QFC6;QF7;QF8;QT7;QP8;QFC5;QAF4;QUnknown;QT8;QX;QO2;QO1;QAF3
1480357158.0;22;-25;-5;36;-44;250;-118;-49;-27;14;-112;17;2;21;8;50;-81;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.01;22;-11;5;34;-36;250;-101;-39;-7;35;-109;18;21;21;19;47;-63;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.01;22;-1;19;32;7;254;-53;-36;24;44;-74;19;55;21;49;52;-43;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.02;22;0;41;30;40;254;-14;-38;38;32;-47;20;86;21;65;64;-33;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.03;22;-5;35;36;28;254;-30;-44;38;36;-62;21;81;22;65;64;-30;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.03;22;-5;35;36;28;254;-30;-44;38;36;-62;21;81;22;65;64;-30;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.04;22;1;21;51;3;258;-60;-70;29;48;-81;22;53;21;57;65;-37;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.05;22;0;13;53;-13;246;-68;-92;13;40;-95;23;36;21;31;66;-52;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.05;22;-19;-4;46;-26;225;-78;-83;-5;28;-115;24;29;21;4;59;-65;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.06;22;-33;-3;42;-25;221;-82;-66;-9;25;-115;25;20;21;5;58;-71;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.07;22;-26;2;44;-10;229;-67;-45;-3;31;-101;26;27;21;22;62;-63;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.08;22;-16;7;48;1;228;-54;-26;-6;45;-91;27;49;21;28;61;-48;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.08;22;-8;19;38;10;222;-40;-23;2;48;-78;28;58;21;28;60;-33;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.09;22;-8;19;38;10;222;-40;-23;2;48;-78;28;58;21;28;60;-33;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.1;22;19;34;33;36;219;-11;-19;29;48;-52;29;66;22;37;62;-13;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.1;22;35;54;38;45;208;-7;-14;32;49;-41;30;71;21;39;68;-5;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.11;22;13;36;36;19;185;-33;-19;6;40;-63;31;53;21;24;72;-29;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.12;22;-8;15;39;3;170;-42;-17;-10;26;-75;32;28;21;14;70;-49;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.12;23;-3;32;50;16;178;-28;6;-6;30;-57;33;31;21;23;67;-34;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.13;23;8;34;46;36;186;-16;16;13;44;-41;34;57;21;37;70;-21;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.14;23;3;30;28;27;174;-24;-6;28;44;-49;35;65;21;37;63;-36;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.14;23;3;30;28;27;174;-24;-6;28;44;-49;35;65;21;37;63;-36;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.15;23;-10;17;21;-3;161;-37;-46;17;34;-68;36;44;21;24;40;-51;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.16;23;-15;1;19;-14;160;-38;-81;0;29;-72;37;28;21;16;22;-57;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.16;23;-14;7;16;-3;156;-28;-96;1;29;-66;38;35;21;10;23;-58;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.17;23;-14;6;29;14;155;-16;-96;9;28;-66;39;52;21;14;25;-49;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.18;23;-10;13;46;25;166;0;-93;21;36;-52;40;64;21;27;20;-34;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.18;23;6;29;44;38;171;13;-80;34;50;-30;41;72;21;36;10;-19;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.19;23;6;22;43;34;155;0;-64;34;44;-36;42;67;21;36;-12;-21;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.2;23;6;22;43;34;155;0;-64;34;44;-36;42;67;21;36;-12;-21;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.2;23;-5;4;47;10;144;-25;-45;25;26;-57;43;50;21;27;-30;-29;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.21;23;1;-22;45;-3;150;-32;-30;12;32;-65;44;38;21;11;-42;-29;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.22;23;-6;-38;43;-9;147;-29;-27;-1;40;-64;45;30;21;-4;-60;-33;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.23;23;-23;-41;50;-13;143;-36;-16;1;36;-67;46;25;21;-3;-69;-40;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.23;23;-15;-37;52;-10;151;-34;3;11;46;-64;47;30;21;-2;-66;-33;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.24;23;2;-21;52;-2;157;-21;13;10;56;-53;48;36;21;-2;-60;-18;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.25;23;2;-21;52;-2;157;-21;13;10;56;-53;48;36;21;-2;-60;-18;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.25;23;4;-26;61;1;152;-17;10;9;56;-55;49;42;22;4;-57;-24;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.26;23;-7;-36;60;-1;145;-19;3;13;46;-60;50;48;21;2;-56;-36;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.27;23;-4;-23;58;10;149;-4;3;21;36;-37;51;59;21;6;-50;-22;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.27;23;25;7;64;44;158;30;-1;33;47;-7;52;82;21;31;-33;7;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.28;23;46;28;61;58;152;37;-36;38;55;0;53;91;21;45;-22;9;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.29;22;26;5;59;34;128;12;-74;33;37;-17;54;75;21;27;-30;-14;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.3;22;4;-13;61;26;111;5;-71;22;23;-36;55;60;21;10;-31;-29;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.3;22;4;-13;61;26;111;5;-71;22;23;-36;55;60;21;10;-31;-29;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.31;22;1;-14;62;26;99;6;-63;5;16;-42;56;46;21;4;-26;-35;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.32;22;2;-21;59;18;81;0;-67;-6;0;-41;57;34;21;-5;-29;-40;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.32;22;7;-8;57;23;76;5;-51;8;2;-33;58;43;21;2;-31;-37;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.33;22;5;-14;60;26;86;13;-27;30;11;-35;59;64;21;24;-27;-30;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.34;22;-3;-35;65;20;93;18;-10;37;11;-42;60;68;21;35;-23;-32;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.34;22;-7;-33;53;17;86;16;-6;24;13;-45;61;54;21;20;-30;-44;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.35;22;-2;-25;43;17;87;2;2;8;16;-45;62;39;22;1;-36;-36;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.36;22;-2;-25;43;17;87;2;2;8;16;-45;62;39;22;1;-36;-36;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.36;22;12;-7;41;18;105;1;12;8;25;-32;63;38;21;-5;-32;-21;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.37;22;27;-4;37;28;124;18;13;18;38;-24;63;50;21;-5;-30;-19;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.38;22;30;-12;36;35;128;21;19;31;34;-23;63;57;21;8;-34;-13;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.38;23;29;4;37;27;110;13;23;36;27;-18;63;54;21;18;-32;0;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.39;23;37;16;39;29;100;25;24;33;33;-4;63;57;21;17;-19;6;0;6;3;6;6;5;5;4;3;6;3;0;5;0;5;2;6
1480357158.4;23;51;30;51;49;112;35;27;39;31;10;63;64;21;21;-5;16;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.41;23;62;40;67;63;123;38;25;50;33;8;63;73;21;33;1;34;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.41;22;59;34;66;48;120;38;8;42;36;-6;63;69;21;41;2;26;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.42;22;59;34;66;48;120;38;8;42;36;-6;63;69;21;41;2;26;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.43;22;39;25;54;26;105;18;-19;24;23;-16;63;48;21;25;-1;1;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.43;22;40;21;55;29;102;10;-25;26;27;-16;63;45;22;8;-4;1;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.44;22;51;37;57;40;114;31;-18;33;46;-6;63;64;22;11;-2;8;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.45;22;34;28;60;32;115;31;-22;31;36;-15;63;57;22;13;2;0;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.45;22;14;-6;62;11;97;2;-29;24;18;-37;63;29;22;0;0;-10;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.46;22;22;0;65;11;86;2;-13;24;21;-39;63;40;21;-3;-2;-14;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.47;22;34;8;66;32;91;28;8;35;20;-25;63;68;21;8;1;-9;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.47;22;34;8;66;32;91;28;8;35;20;-25;63;68;21;8;1;-9;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.48;22;23;-3;58;34;80;23;-3;35;1;-24;63;59;21;5;1;-11;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.49;22;19;-7;55;23;65;12;-4;27;-5;-25;63;51;21;0;-3;-18;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.49;22;37;7;64;42;67;31;16;40;4;-8;63;64;21;17;-4;-9;0;6;3;6;6;5;5;5;3;6;3;0;5;0;5;2;6
1480357158.5;22;54;34;67;58;61;43;15;60;1;6;81;65;21;34;4;5;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.51;22;63;42;64;44;36;34;0;61;-2;7;82;63;21;36;9;4;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.52;22;61;49;64;41;20;30;-3;57;1;13;83;62;21;38;4;5;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.52;22;37;38;65;35;28;23;-5;49;-11;6;84;46;21;40;3;-4;0;6;3;6;6;5;5;5;3;6;3;6;5;0;5;2;6
1480357158.53;22;37;38;65;35;28;23;-5;49;-11;6;84;46;21;40;3;-4;0;6;3;6;6;5;5;5;3;6;3;6;5;0;5;2;6
1480357158.54;22;16;-1;63;7;28;1;-28;31;-18;-28;85;28;21;19;-1;-31;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.54;22;23;3;50;0;23;-7;-65;17;1;-37;86;26;21;-3;-14;-28;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.55;23;39;25;35;21;45;7;-96;24;21;-11;87;35;22;3;-31;2;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.56;22;37;27;34;23;57;13;-121;32;19;-2;88;39;22;5;-34;9;0;6;3;6;6;5;5;5;3;6;3;6;5;0;5;2;6
1480357158.56;22;10;1;36;2;39;-4;-131;15;3;-28;89;29;21;-7;-20;-12;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.57;23;-17;-33;38;-8;22;-20;-120;-5;-7;-49;90;13;21;-10;-10;-35;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.58;23;-17;-33;38;-8;22;-20;-120;-5;-7;-49;90;13;21;-10;-10;-35;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.58;22;-6;-17;53;8;25;-1;-100;13;-1;-25;91;20;21;3;-5;-30;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.59;22;25;14;64;38;40;35;-81;34;11;8;92;49;21;19;-2;-3;0;6;3;6;6;5;5;5;3;6;3;6;5;0;5;2;6
1480357158.6;23;30;21;59;48;43;38;-66;32;16;11;93;61;21;24;-3;2;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.61;23;28;20;59;43;33;31;-53;42;13;0;94;59;21;27;3;-12;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.61;23;30;14;56;41;23;37;-50;52;6;-3;95;62;21;34;5;-11;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.62;22;23;14;44;29;29;31;-52;30;5;1;96;49;21;28;0;-6;0;6;3;6;6;5;5;5;3;6;3;6;5;0;5;2;6
1480357158.63;23;36;25;49;38;56;34;-34;35;29;18;97;43;21;25;6;14;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.63;23;36;25;49;38;56;34;-34;35;29;18;97;43;21;25;6;14;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.64;23;72;59;58;70;94;68;3;76;63;50;98;74;22;55;25;52;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.65;23;71;75;53;61;99;64;8;83;64;50;99;85;21;74;36;47;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.65;23;35;30;55;22;58;19;-26;55;35;8;100;54;21;62;34;9;0;6;3;6;6;5;5;5;3;6;3;6;5;0;5;2;6
1480357158.66;22;32;17;57;8;32;11;-63;41;20;-5;101;37;21;47;33;0;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
1480357158.67;22;56;41;38;12;36;18;-84;36;26;15;102;34;21;32;30;12;0;6;3;6;6;5;5;5;3;6;3;5;5;0;5;2;6
1480357158.67;22;58;47;33;7;29;6;-86;26;17;12;103;24;21;21;21;11;0;6;3;6;6;5;5;5;3;6;3;3;5;0;5;2;6
