Timestamp;Y;F3;F4;P7;FC6;F7;F8;T7;P8;FC5;AF4;Unknown;T8;X;O2;O1;AF3;QY;QF3;QF4;QP7;QFC6;QF7;QF8;QT7;QP8;QFC5;QAF4;QUnknown;QT8;QX;QO2;QO1;QAF3
1480357837.0;22;40;33;59;65;-149;25;-11;92;9;-15;244;94;21;96;137;-70;0;5;3;6;6;5;4;5;4;6;3;6;6;0;5;4;5
1480357837.0;22;64;31;64;48;-166;0;-13;67;-2;-21;244;84;21;71;146;-65;0;5;3;6;6;5;4;5;4;6;3;6;6;0;5;4;5
1480357837.01;23;67;27;61;16;-156;-36;-8;37;9;-35;16;61;21;42;141;-64;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.02;23;67;27;61;16;-156;-36;-8;37;9;-35;16;61;21;42;141;-64;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.02;22;54;8;61;17;-150;-27;-3;29;16;-36;17;58;21;39;139;-64;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.03;22;48;7;85;35;-150;-8;9;43;16;-30;18;74;21;63;153;-62;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.04;22;49;10;92;25;-116;-23;19;44;34;-27;19;69;21;66;149;-61;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.04;22;54;-4;65;12;-85;-35;9;29;44;-28;20;52;21;41;121;-58;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.05;22;51;-11;48;19;-111;-31;-8;25;28;-32;21;40;22;32;112;-60;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.06;22;40;-20;57;28;-133;-21;-6;32;25;-32;22;37;22;37;120;-64;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.07;22;41;-17;68;24;-114;-15;9;43;41;-24;23;47;22;46;132;-58;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.07;22;41;-17;68;24;-114;-15;9;43;41;-24;23;47;22;46;132;-58;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.08;22;60;6;77;28;-83;-6;30;57;60;-18;24;62;21;61;142;-35;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.09;22;88;33;89;55;-67;21;39;69;72;0;25;84;21;78;153;-17;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.09;22;93;49;103;72;-86;44;30;87;60;14;26;108;22;102;169;-23;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.1;22;71;23;117;67;-92;34;42;102;53;-7;27;120;21;124;173;-34;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.11;22;49;-1;117;64;-73;22;56;95;62;-16;28;114;22;123;156;-43;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.11;22;40;0;114;63;-83;16;40;88;57;-8;29;100;21;116;143;-57;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.12;22;52;4;117;54;-106;1;31;94;51;-16;30;91;22;121;151;-59;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.13;22;52;4;117;54;-106;1;31;94;51;-16;30;91;22;121;151;-59;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.13;22;79;21;117;52;-102;-4;41;91;50;-12;31;95;22;113;171;-38;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.14;22;91;32;119;61;-90;2;39;88;47;9;32;103;22;99;176;-23;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.15;22;71;23;114;57;-99;2;29;94;40;6;33;101;21;96;162;-36;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.15;22;43;-6;97;37;-114;-11;25;86;22;-26;34;85;22;95;145;-61;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.16;22;30;-21;88;27;-117;-25;23;67;12;-48;35;74;22;93;132;-70;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.17;22;43;5;87;44;-97;-12;20;60;23;-28;36;83;21;92;122;-63;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.18;22;58;17;85;62;-82;10;18;63;32;-10;37;97;22;91;119;-50;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.18;22;59;12;85;61;-92;8;23;63;30;-14;38;98;21;84;124;-35;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.19;22;59;12;85;61;-92;8;23;63;30;-14;38;98;21;84;124;-35;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.2;22;51;10;90;44;-99;-10;25;51;26;-21;39;87;21;68;135;-37;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.2;22;43;-6;90;18;-121;-28;16;37;10;-40;40;68;22;59;147;-57;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.21;22;33;-10;86;8;-146;-40;10;41;-8;-46;41;60;21;70;149;-68;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.22;22;35;-2;87;24;-134;-32;16;63;0;-26;42;80;21;90;146;-56;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.22;22;49;13;91;42;-115;-12;23;82;19;-14;43;98;21;99;151;-34;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.23;22;48;18;89;41;-122;-9;24;86;18;-21;44;93;21;102;155;-35;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.24;22;48;18;89;41;-122;-9;24;86;18;-21;44;93;21;102;155;-35;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.24;22;33;-6;86;25;-127;-22;23;68;7;-35;45;79;21;96;152;-58;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.25;22;23;-9;81;3;-128;-45;21;31;1;-36;46;57;21;65;144;-65;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.26;22;29;-10;78;-10;-137;-61;21;16;-2;-36;47;43;21;41;141;-57;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.27;22;29;-22;95;1;-135;-54;31;44;2;-31;48;61;21;64;152;-52;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.27;23;28;-9;109;26;-106;-28;43;82;19;-22;49;94;21;94;158;-40;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.28;23;45;9;104;50;-80;-10;46;97;37;-9;50;111;21;97;153;-27;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.29;22;58;23;107;64;-90;0;37;94;35;10;51;119;21;93;152;-24;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.29;22;49;20;116;62;-117;11;34;96;16;6;52;120;21;97;153;-33;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
1480357837.3;23;30;2;116;41;-125;-5;34;92;0;-21;53;105;21;96;155;-54;0;5;3;6;6;5;4;5;4;6;3;0;6;0;5;4;5
