Timestamp;Y;F3;F4;P7;FC6;F7;F8;T7;P8;FC5;AF4;Unknown;T8;X;O2;O1;AF3;QY;QF3;QF4;QP7;QFC6;QF7;QF8;QT7;QP8;QFC5;QAF4;QUnknown;QT8;QX;QO2;QO1;QAF3
1480358178.0;22;8;37;91;35;-59;43;188;37;69;71;63;49;21;35;0;-14;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.01;22;5;41;88;18;-55;29;175;25;83;68;63;36;22;25;0;-17;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.01;22;13;43;85;30;-43;42;183;33;81;71;63;43;21;22;-2;-18;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.02;22;-7;15;72;15;-52;30;185;17;58;57;63;33;21;1;-21;-34;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.03;22;-33;-9;60;-24;-65;-9;174;-6;48;29;63;3;21;-15;-35;-57;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.04;22;-25;-10;61;-24;-56;-13;175;11;58;26;63;9;22;-4;-23;-51;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.04;22;-25;-10;61;-24;-56;-13;175;11;58;26;63;9;22;-4;-23;-51;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.05;22;-4;16;70;-1;-54;17;178;32;61;49;63;40;22;14;-7;-34;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.06;22;0;32;79;6;-58;31;175;33;62;58;63;56;22;28;-1;-31;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.06;22;1;27;88;17;-48;27;179;44;65;50;63;60;21;37;1;-31;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.07;22;6;27;84;20;-53;25;176;43;53;49;63;57;21;23;3;-34;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.08;22;-4;17;78;4;-67;25;169;23;44;44;63;51;22;2;14;-48;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
1480358178.08;22;-8;21;84;8;-53;26;184;27;50;40;63;54;21;12;31;-47;0;6;2;6;6;7;4;5;4;5;3;0;6;0;4;3;4
