Timestamp,F3 Value,F3 Quality,FC5 Value,5C5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,X Value,Y Value,Z Value
2016-12-19 08:18:38.415000,-3200,0,-3161,0,-3012,0,-3029,0,-3076,0,-3035,0,-3063,0,-3085,0,-3216,0,-3065,0,-3098,0,-2984,0,-1132,0,21,22,?
2016-12-19 08:18:38.423000,-3171,0,-3119,0,-3003,0,-3007,0,-3048,0,-3003,0,-3018,0,-3094,0,-3222,0,-3119,0,-3134,0,-3006,0,-1153,0,21,22,?
2016-12-19 08:18:38.430000,-3184,0,-3150,0,-3015,0,-3022,0,-3072,0,-3033,0,-3069,0,-3065,0,-3208,0,-3057,0,-3098,0,-2975,0,-1117,0,21,22,?
2016-12-19 08:18:38.438000,-3176,0,-3121,0,-2996,0,-3007,0,-3053,0,-3015,0,-3026,0,-3067,0,-3211,0,-3084,0,-3111,0,-2987,0,-1133,0,21,22,?
2016-12-19 08:18:38.446000,-3172,0,-3122,0,-2999,0,-3006,0,-3051,0,-3008,0,-3011,0,-3074,0,-3209,0,-3085,0,-3109,0,-2988,0,-1136,0,21,22,?
2016-12-19 08:18:38.454000,-3184,0,-3146,0,-3004,0,-3016,0,-3065,0,-3021,0,-3052,0,-3057,0,-3193,0,-3041,0,-3081,0,-2970,0,-1108,0,21,22,?
2016-12-19 08:18:38.462000,-3162,0,-3094,0,-2985,0,-2986,0,-3035,0,-2991,0,-2999,0,-3063,0,-3200,0,-3097,0,-3109,0,-2996,0,-1119,0,21,22,?
2016-12-19 08:18:38.470000,-3178,0,-3133,0,-2997,0,-3004,0,-3055,0,-3014,0,-3041,0,-3057,0,-3186,0,-3047,0,-3075,0,-2967,0,-1095,0,21,22,?
2016-12-19 08:18:38.478000,-3166,0,-3112,0,-2980,0,-2993,0,-3033,0,-2998,0,-3023,0,-3061,0,-3189,0,-3067,0,-3093,0,-2971,0,-1110,0,21,22,?
2016-12-19 08:18:38.486000,-3151,0,-3101,0,-2986,0,-2982,0,-3031,0,-2990,0,-3006,0,-3055,0,-3191,0,-3077,0,-3098,0,-2970,0,-1112,0,21,22,?
2016-12-19 08:18:38.493000,-3163,0,-3133,0,-2994,0,-2997,0,-3052,0,-3009,0,-3043,0,-3041,0,-3179,0,-3026,0,-3060,0,-2948,0,-1082,0,21,22,?
2016-12-19 08:18:38.500000,-3137,0,-3081,0,-2961,0,-2973,0,-3016,0,-2976,0,-2983,0,-3059,0,-3190,0,-3082,0,-3094,0,-2975,0,-1108,0,21,22,?
2016-12-19 08:18:38.508000,-3149,0,-3113,0,-2980,0,-2988,0,-3039,0,-2995,0,-3020,0,-3042,0,-3178,0,-3035,0,-3065,0,-2951,0,-1091,0,21,22,?
2016-12-19 08:18:38.516000,-3141,0,-3097,0,-2978,0,-2979,0,-3031,0,-2985,0,-3017,0,-3032,0,-3174,0,-3044,0,-3066,0,-2954,0,-1090,0,21,22,?
2016-12-19 08:18:38.524000,-3128,0,-3076,0,-2965,0,-2971,0,-3014,0,-2969,0,-2984,0,-3043,0,-3175,0,-3062,0,-3080,0,-2958,0,-1092,0,21,22,?
2016-12-19 08:18:38.532000,-3147,0,-3118,0,-2972,0,-2991,0,-3037,0,-2987,0,-3024,0,-3032,0,-3164,0,-3005,0,-3043,0,-2926,0,-1067,0,21,22,?
2016-12-19 08:18:38.541000,-3125,0,-3068,0,-2958,0,-2962,0,-3009,0,-2959,0,-2976,0,-3039,0,-3175,0,-3061,0,-3070,0,-2951,0,-1088,0,21,22,?
2016-12-19 08:18:38.548000,-3137,0,-3092,0,-2970,0,-2973,0,-3022,0,-2977,0,-3004,0,-3033,0,-3161,0,-3021,0,-3049,0,-2936,0,-1064,0,21,22,?
2016-12-19 08:18:38.556000,-3129,0,-3088,0,-2958,0,-2974,0,-3017,0,-2970,0,-2994,0,-3028,0,-3152,0,-3022,0,-3048,0,-2936,0,-1063,0,21,22,?
2016-12-19 08:18:38.563000,-3110,0,-3060,0,-2952,0,-2953,0,-3006,0,-2952,0,-2958,0,-3025,0,-3156,0,-3054,0,-3064,0,-2943,0,-1073,0,21,22,?
2016-12-19 08:18:38.571000,-3133,0,-3099,0,-2965,0,-2967,0,-3026,0,-2980,0,-3013,0,-3009,0,-3141,0,-2993,0,-3031,0,-2912,0,-1047,0,21,22,?
2016-12-19 08:18:38.579000,-3111,0,-3052,0,-2943,0,-2945,0,-2993,0,-2947,0,-2956,0,-3026,0,-3149,0,-3041,0,-3059,0,-2937,0,-1070,0,21,22,?
2016-12-19 08:18:38.587000,-3108,0,-3074,0,-2958,0,-2953,0,-3007,0,-2955,0,-2972,0,-3017,0,-3139,0,-3012,0,-3034,0,-2923,0,-1047,0,21,22,?
2016-12-19 08:18:38.595000,-3112,0,-3074,0,-2950,0,-2956,0,-3003,0,-2957,0,-2994,0,-3004,0,-3128,0,-3004,0,-3031,0,-2914,0,-1034,0,21,22,?
2016-12-19 08:18:38.603000,-3100,0,-3036,0,-2935,0,-2939,0,-2983,0,-2942,0,-2953,0,-3016,0,-3137,0,-3043,0,-3059,0,-2927,0,-1054,0,21,22,?
2016-12-19 08:18:38.611000,-3114,0,-3082,0,-2955,0,-2956,0,-3010,0,-2966,0,-2994,0,-3004,0,-3126,0,-2979,0,-3018,0,-2901,0,-1030,0,21,22,?
