F3,F4,P7,FC6,F7,F8,T7,P8,FC5,AF4,T8,O2,O1,AF3
-25,-5,36,-44,250,-118,-49,-27,14,-112,2,8,50,-81
-11,5,34,-36,250,-101,-39,-7,35,-109,21,19,47,-63
-1,19,32,7,254,-53,-36,24,44,-74,55,49,52,-43
0,41,30,40,254,-14,-38,38,32,-47,86,65,64,-33
-5,35,36,28,254,-30,-44,38,36,-62,81,65,64,-30
-5,35,36,28,254,-30,-44,38,36,-62,81,65,64,-30
1,21,51,3,258,-60,-70,29,48,-81,53,57,65,-37
0,13,53,-13,246,-68,-92,13,40,-95,36,31,66,-52
-19,-4,46,-26,225,-78,-83,-5,28,-115,29,4,59,-65
-33,-3,42,-25,221,-82,-66,-9,25,-115,20,5,58,-71
-26,2,44,-10,229,-67,-45,-3,31,-101,27,22,62,-63
-16,7,48,1,228,-54,-26,-6,45,-91,49,28,61,-48
-8,19,38,10,222,-40,-23,2,48,-78,58,28,60,-33
-8,19,38,10,222,-40,-23,2,48,-78,58,28,60,-33
19,34,33,36,219,-11,-19,29,48,-52,66,37,62,-13
35,54,38,45,208,-7,-14,32,49,-41,71,39,68,-5
13,36,36,19,185,-33,-19,6,40,-63,53,24,72,-29
-8,15,39,3,170,-42,-17,-10,26,-75,28,14,70,-49
-3,32,50,16,178,-28,6,-6,30,-57,31,23,67,-34
8,34,46,36,186,-16,16,13,44,-41,57,37,70,-21
3,30,28,27,174,-24,-6,28,44,-49,65,37,63,-36
3,30,28,27,174,-24,-6,28,44,-49,65,37,63,-36
-10,17,21,-3,161,-37,-46,17,34,-68,44,24,40,-51
-15,1,19,-14,160,-38,-81,0,29,-72,28,16,22,-57
-14,7,16,-3,156,-28,-96,1,29,-66,35,10,23,-58
-14,6,29,14,155,-16,-96,9,28,-66,52,14,25,-49
-10,13,46,25,166,0,-93,21,36,-52,64,27,20,-34
6,29,44,38,171,13,-80,34,50,-30,72,36,10,-19
6,22,43,34,155,0,-64,34,44,-36,67,36,-12,-21
6,22,43,34,155,0,-64,34,44,-36,67,36,-12,-21
-5,4,47,10,144,-25,-45,25,26,-57,50,27,-30,-29
1,-22,45,-3,150,-32,-30,12,32,-65,38,11,-42,-29
-6,-38,43,-9,147,-29,-27,-1,40,-64,30,-4,-60,-33
-23,-41,50,-13,143,-36,-16,1,36,-67,25,-3,-69,-40
-15,-37,52,-10,151,-34,3,11,46,-64,30,-2,-66,-33
2,-21,52,-2,157,-21,13,10,56,-53,36,-2,-60,-18
2,-21,52,-2,157,-21,13,10,56,-53,36,-2,-60,-18
4,-26,61,1,152,-17,10,9,56,-55,42,4,-57,-24
-7,-36,60,-1,145,-19,3,13,46,-60,48,2,-56,-36
-4,-23,58,10,149,-4,3,21,36,-37,59,6,-50,-22
25,7,64,44,158,30,-1,33,47,-7,82,31,-33,7
46,28,61,58,152,37,-36,38,55,0,91,45,-22,9
26,5,59,34,128,12,-74,33,37,-17,75,27,-30,-14
4,-13,61,26,111,5,-71,22,23,-36,60,10,-31,-29
4,-13,61,26,111,5,-71,22,23,-36,60,10,-31,-29
1,-14,62,26,99,6,-63,5,16,-42,46,4,-26,-35
2,-21,59,18,81,0,-67,-6,0,-41,34,-5,-29,-40
7,-8,57,23,76,5,-51,8,2,-33,43,2,-31,-37
5,-14,60,26,86,13,-27,30,11,-35,64,24,-27,-30
-3,-35,65,20,93,18,-10,37,11,-42,68,35,-23,-32
-7,-33,53,17,86,16,-6,24,13,-45,54,20,-30,-44
-2,-25,43,17,87,2,2,8,16,-45,39,1,-36,-36
-2,-25,43,17,87,2,2,8,16,-45,39,1,-36,-36
12,-7,41,18,105,1,12,8,25,-32,38,-5,-32,-21
27,-4,37,28,124,18,13,18,38,-24,50,-5,-30,-19
30,-12,36,35,128,21,19,31,34,-23,57,8,-34,-13
29,4,37,27,110,13,23,36,27,-18,54,18,-32,0
37,16,39,29,100,25,24,33,33,-4,57,17,-19,6
51,30,51,49,112,35,27,39,31,10,64,21,-5,16
62,40,67,63,123,38,25,50,33,8,73,33,1,34
59,34,66,48,120,38,8,42,36,-6,69,41,2,26
59,34,66,48,120,38,8,42,36,-6,69,41,2,26
39,25,54,26,105,18,-19,24,23,-16,48,25,-1,1
40,21,55,29,102,10,-25,26,27,-16,45,8,-4,1
51,37,57,40,114,31,-18,33,46,-6,64,11,-2,8
34,28,60,32,115,31,-22,31,36,-15,57,13,2,0
14,-6,62,11,97,2,-29,24,18,-37,29,0,0,-10
22,0,65,11,86,2,-13,24,21,-39,40,-3,-2,-14
34,8,66,32,91,28,8,35,20,-25,68,8,1,-9
34,8,66,32,91,28,8,35,20,-25,68,8,1,-9
23,-3,58,34,80,23,-3,35,1,-24,59,5,1,-11
19,-7,55,23,65,12,-4,27,-5,-25,51,0,-3,-18
37,7,64,42,67,31,16,40,4,-8,64,17,-4,-9
54,34,67,58,61,43,15,60,1,6,65,34,4,5
63,42,64,44,36,34,0,61,-2,7,63,36,9,4
61,49,64,41,20,30,-3,57,1,13,62,38,4,5
37,38,65,35,28,23,-5,49,-11,6,46,40,3,-4
